stars_list,avg_rating,num_movies,rating_class,relative_freq,weighted_score
Robert Taylor,0.6203571428571429,56,1,0.011967576416181019,0.007424171512466583
David Attenborough,0.8371428571428572,56,1,0.011967576416181019,0.010018571114117254
Angelina Jolie,0.5832142857142857,56,0,0.011967576416181019,0.006979661531294144
Elijah Wood,0.6660714285714285,56,1,0.011967576416181019,0.007971260720063428
Richard Dreyfuss,0.6101785714285715,56,0,0.011967576416181019,0.007302358681087597
Jim Broadbent,0.6429090909090909,55,1,0.0117538696944635,0.007556669679931443
Cary Grant,0.6634545454545455,55,1,0.0117538696944635,0.00779815827547224
Colin Farrell,0.652,55,1,0.0117538696944635,0.007663523040790203
Val Kilmer,0.5501818181818182,55,0,0.0117538696944635,0.006466765399172101
Kelly Sheridan,0.6018181818181818,55,0,0.0117538696944635,0.0070736924888498524
Gerard Butler,0.6112727272727272,55,0,0.0117538696944635,0.007184819984142961
Idris Elba,0.6270909090909091,55,1,0.0117538696944635,0.007370744832037203
Robert Redford,0.6570909090909091,55,1,0.0117538696944635,0.007723360922871107
Peter Falk,0.6594545454545454,55,1,0.0117538696944635,0.007751142796694384
Daws Butler,0.6689090909090909,55,1,0.0117538696944635,0.007862270291987494
Kristen Bell,0.632,55,1,0.0117538696944635,0.007428445646900933
Jude Law,0.6258181818181818,55,1,0.0117538696944635,0.007355785361516976
Tim Holt,0.558,55,0,0.0117538696944635,0.006558659289510634
Ray Liotta,0.5801818181818181,55,0,0.0117538696944635,0.006819381490006005
Kevin Hart,0.6045454545454545,55,0,0.0117538696944635,0.00710574849710748
Drew Barrymore,0.5909090909090909,55,0,0.0117538696944635,0.006945468455819342
John Ireland,0.5312727272727272,55,0,0.0117538696944635,0.006244510408585881
Sean Patrick Flanery,0.5285454545454545,55,0,0.0117538696944635,0.006212454400328254
Rutger Hauer,0.5457407407407407,54,0,0.011540162972745982,0.006297937089015261
Joel McCrea,0.6277777777777778,54,1,0.011540162972745982,0.007244657866223867
Vanessa Redgrave,0.6488888888888888,54,1,0.011540162972745982,0.007488283528981837
Oliver Reed,0.5694444444444444,54,0,0.011540162972745982,0.006571481692813684
Allan Lane,0.6153703703703703,54,1,0.011540162972745982,0.007101474362673129
Denzel Washington,0.643888888888889,54,1,0.011540162972745982,0.007430582714118108
Jason Statham,0.5907407407407407,54,0,0.011540162972745982,0.006817244422788829
Gabriel Byrne,0.5816666666666667,54,0,0.011540162972745982,0.0067125281291472464
Tony Curtis,0.5866666666666667,54,0,0.011540162972745982,0.006770228944010977
Paul Rudd,0.5994444444444444,54,0,0.011540162972745982,0.0069176865819960635
Jake Gyllenhaal,0.6585185185185186,54,1,0.011540162972745982,0.007599411024274948
David Niven,0.5881481481481482,54,0,0.011540162972745982,0.0067873254817483785
John Leguizamo,0.567962962962963,54,0,0.011540162972745982,0.006554385155076284
Andy Clyde,0.5898148148148148,54,0,0.011540162972745982,0.006806559086702954
Jack Mercer,0.608867924528302,53,0,0.011326456251028464,0.006896315909824313
Rowan Atkinson,0.7035849056603773,53,1,0.011326456251028464,0.007969123652846253
Kenneth Branagh,0.6790566037735849,53,1,0.011326456251028464,0.00769130491461348
Tilda Swinton,0.6477358490566038,53,1,0.011326456251028464,0.007336551756562399
Scarlett Johansson,0.6462264150943396,53,1,0.011326456251028464,0.007319455218824998
Tress MacNeille,0.6498113207547169,53,1,0.011326456251028464,0.0073600594959513255
David Tennant,0.659622641509434,53,1,0.011326456251028464,0.007471186991244436
Paul Frees,0.6858490566037736,53,1,0.011326456251028464,0.007768239334431787
Natalie Portman,0.6367924528301887,53,1,0.011326456251028464,0.007212601857966239
Roddy McDowall,0.5990566037735849,53,0,0.011326456251028464,0.006785188414531203
Cherami Leigh,0.6592452830188679,53,1,0.011326456251028464,0.007466912856810085
Orson Welles,0.6407547169811321,53,1,0.011326456251028464,0.0072574802695269175
Saori Hayami,0.6675471698113208,53,1,0.011326456251028464,0.007560943814365794
Maaya Sakamoto,0.7049056603773585,53,1,0.011326456251028464,0.00798408312336648
Kevin Sorbo,0.47377358490566035,53,0,0.011326456251028464,0.005366175782326881
